2026-06-22 17:45:27 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 17:45:27 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-22 17:54:06 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'The sky is blue....'
2026-06-22 17:54:06 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'The sky is blue....'
2026-06-22 17:54:06 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742

2026-06-22 17:54:06 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-22 17:54:06 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 12ms.
2026-06-22 17:54:26 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'Water boils at 100 degrees Celsius at sea level....'
2026-06-22 17:54:26 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'Water boils at 100 degrees Celsius at sea level....'
2026-06-22 17:54:26 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: 

You tried to access openai.ChatCompletion, but this is no longer supported in openai>=1.0.0 - see the README at https://github.com/openai/openai-python for the API.

You can run `openai migrate` to automatically upgrade your codebase to use the 1.0.0 interface. 

Alternatively, you can pin your installation to the old version, e.g. `pip install openai==0.28`

A detailed migration guide is available here: https://github.com/openai/openai-python/discussions/742

2026-06-22 17:54:26 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-22 17:54:26 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 0ms.
2026-06-22 18:13:03 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 18:13:03 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-22 18:19:44 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 18:19:44 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-22 18:19:57 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'The sky is blue....'
2026-06-22 18:19:57 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'The sky is blue....'
2026-06-22 18:20:01 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-06-22 18:20:01 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-22 18:20:01 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 4457ms.
2026-06-22 18:22:14 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 18:22:14 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-22 18:22:37 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'The sky is blue....'
2026-06-22 18:22:37 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'The sky is blue....'
2026-06-22 18:22:41 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-06-22 18:22:41 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-22 18:22:41 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 3605ms.
2026-06-22 18:28:01 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 18:28:01 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-22 21:17:42 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-22 21:17:42 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-23 23:05:15 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-23 23:05:15 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-23 23:07:42 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'The sky is blue....'
2026-06-23 23:07:42 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'The sky is blue....'
2026-06-23 23:07:48 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-06-23 23:07:48 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-23 23:07:48 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 5647ms.
2026-06-23 23:08:01 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'Water boils at 100 degrees Celsius at sea level....'
2026-06-23 23:08:01 | INFO     | app.services.verification_pipeline:process_text_chunk:18 - Processing text chunk: 'Water boils at 100 degrees Celsius at sea level....'
2026-06-23 23:08:04 | ERROR    | app.services.llm_service:extract_claims:51 - Error extracting claims: Error code: 429 - {'error': {'message': 'You exceeded your current quota, please check your plan and billing details. For more information on this error, read the docs: https://platform.openai.com/docs/guides/error-codes/api-errors.', 'type': 'insufficient_quota', 'param': None, 'code': 'insufficient_quota'}}
2026-06-23 23:08:04 | INFO     | app.services.verification_pipeline:process_text_chunk:23 - No claims extracted from text chunk.
2026-06-23 23:08:04 | INFO     | app.routers.fact_check:fact_check_endpoint:40 - Returning fact-check response with 0 results in 3891ms.
2026-06-23 23:12:12 | INFO     | app.main:startup_event:46 - Starting up Real-Time Fact-Checker API...
2026-06-23 23:12:12 | INFO     | app.main:startup_event:49 - Configuration validated successfully.
2026-06-23 23:30:13 | INFO     | app.routers.fact_check:fact_check_endpoint:15 - Received fact-check request for text: 'The sky is blue....'
